size,drive_T,file_index,trajectory_id,trajectory_seed,split,label,endpoint_order,minimum_order,first_passage_ps,transition_spatial_std,peak_spatial_std,peak_wall_density,diagnostic_time_ps,summary_png
16,0.7,0,0,1151712781098188,train,no_crossing,0.9080265760421753,0.6384264230728149,,0.0,0.07742709666490555,0.0,0.48,L16/drive_0p70T/trajectory_0000.png
16,0.7,1,1,1151712781098189,train,no_crossing,0.7917038202285767,0.45666074752807617,,0.10832467675209045,0.10832467675209045,0.0,0.5499999999999999,L16/drive_0p70T/trajectory_0001.png
16,0.7,2,2,1151712781098190,train,no_crossing,0.8621081709861755,0.51092529296875,,0.0,0.09110701084136963,0.0,0.5099999999999999,L16/drive_0p70T/trajectory_0002.png
16,0.7,3,3,1151712781098191,train,no_crossing,0.8623244166374207,0.3163919448852539,,0.1129157766699791,0.1129157766699791,0.0,0.54,L16/drive_0p70T/trajectory_0003.png
16,0.7,4,4,1151712781098192,test,no_crossing,0.8837018013000488,0.49891412258148193,,0.08568717539310455,0.09351839125156403,0.0,0.5099999999999999,L16/drive_0p70T/trajectory_0004.png
16,0.7,5,5,1151712781098193,validation,no_crossing,0.8773105144500732,0.5136519074440002,,0.0,0.08997147530317307,0.0,0.54,L16/drive_0p70T/trajectory_0005.png
16,0.7,6,6,1151712781098194,validation,no_crossing,0.947171688079834,0.6999881267547607,,0.0,0.08000240474939346,0.0,0.45,L16/drive_0p70T/trajectory_0006.png
16,0.7,7,7,1151712781098195,train,no_crossing,0.9427884221076965,0.23882514238357544,,0.11463697254657745,0.11463697254657745,0.0234375,0.59,L16/drive_0p70T/trajectory_0007.png
16,0.7,8,8,1151712781098196,train,no_crossing,0.8776631355285645,0.5455341339111328,,0.0,0.10722499340772629,0.0,0.5299999999999999,L16/drive_0p70T/trajectory_0008.png
16,0.7,9,9,1151712781098197,train,no_crossing,0.9493845701217651,0.29447099566459656,,0.11599479615688324,0.11599479615688324,0.0078125,0.57,L16/drive_0p70T/trajectory_0009.png
16,0.7,10,10,1151712781098198,train,no_crossing,0.8831944465637207,0.3939957618713379,,0.09832721948623657,0.09832721948623657,0.0,0.5299999999999999,L16/drive_0p70T/trajectory_0010.png
16,0.7,11,11,1151712781098199,train,no_crossing,0.787416934967041,0.48197290301322937,,0.09313927590847015,0.10209275782108307,0.0,0.52,L16/drive_0p70T/trajectory_0011.png
16,0.7,12,12,1151712781098200,train,no_crossing,0.9117112755775452,0.5957826972007751,,0.0,0.11181951314210892,0.0,0.47000000000000003,L16/drive_0p70T/trajectory_0012.png
16,0.7,13,13,1151712781098201,train,no_crossing,0.9524765014648438,0.16309033334255219,,0.1277414709329605,0.1277414709329605,0.1328125,0.6299999999999999,L16/drive_0p70T/trajectory_0013.png
16,0.7,14,14,1151712781098202,train,coherent_like,-0.6495301723480225,-0.6495301723480225,0.7499999999999999,0.13270701467990875,0.13270701467990875,0.33203125,0.8,L16/drive_0p70T/trajectory_0014.png
16,0.7,15,15,1151712781098203,train,no_crossing,0.8057064414024353,0.3885961174964905,,0.1187259703874588,0.1187259703874588,0.0078125,0.57,L16/drive_0p70T/trajectory_0015.png
16,0.7,16,16,1151712781098204,train,no_crossing,0.8795803189277649,0.4875425696372986,,0.09764701128005981,0.10523741692304611,0.0,0.52,L16/drive_0p70T/trajectory_0016.png
16,0.7,17,17,1151712781098205,train,coherent_like,-0.871776282787323,-0.9725858569145203,0.54,0.1102733388543129,0.1102733388543129,0.33203125,0.5099999999999999,L16/drive_0p70T/trajectory_0017.png
16,0.7,18,18,1151712781098206,test,no_crossing,0.8133288621902466,0.6000086665153503,,0.0,0.09719058126211166,0.0,0.45999999999999996,L16/drive_0p70T/trajectory_0018.png
16,0.7,19,19,1151712781098207,train,no_crossing,0.8726804256439209,0.5626130104064941,,0.0,0.10268178582191467,0.0,0.54,L16/drive_0p70T/trajectory_0019.png
16,0.7,20,20,1151712781098208,train,no_crossing,0.9420335292816162,0.7533897757530212,,0.0,0.073513925075531,0.0,0.52,L16/drive_0p70T/trajectory_0020.png
16,0.7,21,21,1151712781098209,train,no_crossing,0.8566008806228638,0.5562326908111572,,0.0,0.09018063545227051,0.0,0.54,L16/drive_0p70T/trajectory_0021.png
16,0.7,22,22,1151712781098210,train,no_crossing,0.9815933108329773,0.20823976397514343,,0.11286915093660355,0.11286915093660355,0.04296875,0.64,L16/drive_0p70T/trajectory_0022.png
16,0.7,23,23,1151712781098211,train,no_crossing,0.9413388967514038,0.46014541387557983,,0.10102571547031403,0.10102571547031403,0.0,0.54,L16/drive_0p70T/trajectory_0023.png
16,0.7,24,24,1151712781098212,train,no_crossing,0.9270753860473633,0.5766847133636475,,0.0,0.10331374406814575,0.0,0.5099999999999999,L16/drive_0p70T/trajectory_0024.png
16,0.7,25,25,1151712781098213,test,coherent_like,-0.8356661796569824,-0.9838331341743469,0.5,0.11494405567646027,0.11494405567646027,0.3671875,0.56,L16/drive_0p70T/trajectory_0025.png
16,0.7,26,26,1151712781098214,train,coherent_like,-0.8933371305465698,-0.9725908637046814,0.56,0.13302230834960938,0.13302230834960938,0.3203125,0.61,L16/drive_0p70T/trajectory_0026.png
16,0.7,27,27,1151712781098215,train,no_crossing,0.9086920022964478,0.5480209589004517,,0.0,0.10582579672336578,0.0,0.5099999999999999,L16/drive_0p70T/trajectory_0027.png
16,0.7,28,28,1151712781098216,validation,no_crossing,0.7483711242675781,0.1709769070148468,,0.11772341281175613,0.11772341281175613,0.09375,0.64,L16/drive_0p70T/trajectory_0028.png
16,0.7,29,29,1151712781098217,train,no_crossing,0.8910790681838989,0.5812098979949951,,0.0,0.10233502089977264,0.0,0.5099999999999999,L16/drive_0p70T/trajectory_0029.png
16,0.78,30,30,1151712782098188,test,no_crossing,0.9634748697280884,0.2984844744205475,,0.11780906468629837,0.11780906468629837,0.015625,0.57,L16/drive_0p78T/trajectory_0030.png
16,0.78,31,31,1151712782098189,train,coherent_like,-0.9613714814186096,-0.9771413803100586,0.43,0.10409820079803467,0.10409820079803467,0.29296875,0.45,L16/drive_0p78T/trajectory_0031.png
16,0.78,32,32,1151712782098190,train,coherent_like,-0.8816393613815308,-0.9792875647544861,0.48,0.11832721531391144,0.11832721531391144,0.33984375,0.44,L16/drive_0p78T/trajectory_0032.png
16,0.78,33,33,1151712782098191,train,coherent_like,-0.9457029104232788,-0.9811657071113586,0.58,0.10036402195692062,0.10036402195692062,0.41015625,0.48,L16/drive_0p78T/trajectory_0033.png
16,0.78,34,34,1151712782098192,train,coherent_like,-0.9832707047462463,-0.985948920249939,0.59,0.10800063610076904,0.10800063610076904,0.375,0.64,L16/drive_0p78T/trajectory_0034.png
16,0.78,35,35,1151712782098193,train,coherent_like,-0.7959699630737305,-0.9805582761764526,0.5299999999999999,0.11658608913421631,0.11658608913421631,0.3046875,0.52,L16/drive_0p78T/trajectory_0035.png
16,0.78,36,36,1151712782098194,train,coherent_like,-0.8301723003387451,-0.9771491289138794,0.57,0.1150360181927681,0.1150360181927681,0.34375,0.62,L16/drive_0p78T/trajectory_0036.png
16,0.78,37,37,1151712782098195,validation,no_crossing,0.86287522315979,0.4770086407661438,,0.0808045044541359,0.08145737648010254,0.0,0.5299999999999999,L16/drive_0p78T/trajectory_0037.png
16,0.78,38,38,1151712782098196,train,coherent_like,-0.6737056970596313,-0.975577712059021,0.54,0.13285945355892181,0.13285945355892181,0.30078125,0.52,L16/drive_0p78T/trajectory_0038.png
16,0.78,39,39,1151712782098197,test,coherent_like,-0.8152267932891846,-0.9522031545639038,0.54,0.12349366396665573,0.12349366396665573,0.33203125,0.54,L16/drive_0p78T/trajectory_0039.png
16,0.78,40,40,1151712782098198,train,no_crossing,0.8650649785995483,0.36440569162368774,,0.10998478531837463,0.10998478531837463,0.0,0.57,L16/drive_0p78T/trajectory_0040.png
16,0.78,41,41,1151712782098199,train,no_crossing,0.9591028690338135,0.10639838129281998,,0.12580089271068573,0.12580089271068573,0.2421875,0.64,L16/drive_0p78T/trajectory_0041.png
16,0.78,42,42,1151712782098200,train,no_crossing,0.9172624349594116,0.19727402925491333,,0.1190209612250328,0.1190209612250328,0.0703125,0.68,L16/drive_0p78T/trajectory_0042.png
16,0.78,43,43,1151712782098201,train,coherent_like,-0.8481234908103943,-0.9832193851470947,0.5499999999999999,0.12876765429973602,0.12876765429973602,0.38671875,0.59,L16/drive_0p78T/trajectory_0043.png
16,0.78,44,44,1151712782098202,train,coherent_like,-0.8206542730331421,-0.8206542730331421,0.61,0.13035982847213745,0.13035982847213745,0.32421875,0.78,L16/drive_0p78T/trajectory_0044.png
16,0.78,45,45,1151712782098203,train,coherent_like,-0.9713624715805054,-0.9713624715805054,0.59,0.11540529876947403,0.11540529876947403,0.35546875,0.72,L16/drive_0p78T/trajectory_0045.png
16,0.78,46,46,1151712782098204,train,coherent_like,-0.9814664721488953,-0.9814664721488953,0.6,0.1149015799164772,0.1149015799164772,0.34765625,0.5499999999999999,L16/drive_0p78T/trajectory_0046.png
16,0.78,47,47,1151712782098205,train,no_crossing,0.8900613784790039,0.5176441669464111,,0.0,0.08583755791187286,0.0,0.56,L16/drive_0p78T/trajectory_0047.png
16,0.78,48,48,1151712782098206,test,no_crossing,0.9124117493629456,0.561499834060669,,0.0,0.08953457325696945,0.0,0.54,L16/drive_0p78T/trajectory_0048.png
